ts,kwd_no
2025-11-13 15:07:27,B111
2025-11-13 15:07:27,B112
2025-11-13 15:07:27,B113
2025-11-13 15:07:27,B114
2025-11-13 15:07:27,B115
2025-11-13 15:07:27,B141
2025-11-13 15:07:27,B160
2025-11-13 15:07:27,B168
2025-11-13 15:07:27,B169
2025-11-13 15:07:27,B174
2025-11-13 15:07:27,B180
2025-11-13 15:07:27,B199
2025-11-13 15:07:27,B200
2025-11-13 15:07:27,B201
2025-11-13 15:07:27,B202
2025-11-13 15:07:27,B203
2025-11-13 15:07:27,B214
2025-11-13 15:07:27,B220
2025-11-13 15:07:27,B221
2025-11-13 15:07:27,B247
2025-11-13 15:07:27,B248
2025-11-13 15:07:27,B249
2025-11-13 15:07:27,B304
2025-11-13 15:07:27,B305
2025-11-13 15:07:27,B306
2025-11-13 15:07:27,B307
2025-11-13 15:07:27,B308
2025-11-13 15:07:27,B309
2025-11-13 15:07:27,B310
2025-11-13 15:07:27,B311
2025-11-13 15:07:27,B312
2025-11-13 15:07:27,B313
2025-11-13 15:07:27,B314
2025-11-13 15:07:27,B315
2025-11-13 15:07:27,B316
2025-11-13 15:07:27,B332
2025-11-13 15:07:27,B341
2025-11-13 15:07:27,B342
2025-11-13 15:07:27,B343
2025-11-13 15:07:27,B344
2025-11-13 15:07:27,B345
2025-11-13 15:07:27,B346
2025-11-13 15:07:27,B347
2025-11-13 15:07:27,B348
2025-11-13 15:07:27,B349
2025-11-13 15:07:27,B353
2025-11-13 15:12:41,B141
2025-11-13 15:12:41,B247
2025-11-13 15:12:41,B352
2025-11-13 15:12:41,F187
2025-11-13 15:12:41,F394
2025-11-13 15:12:41,G007
2025-11-13 15:12:41,I149
2025-11-13 15:12:41,I264
2025-11-13 15:12:44,B036
2025-11-13 15:12:44,B037
2025-11-13 15:12:44,B110
2025-11-13 15:12:44,B111
2025-11-13 15:12:44,B112
2025-11-13 15:12:44,B113
2025-11-13 15:12:44,B114
2025-11-13 15:12:44,B115
2025-11-13 15:12:44,B141
2025-11-13 15:12:44,B160
2025-11-13 15:12:44,B168
2025-11-13 15:12:44,B169
2025-11-13 15:12:44,B174
2025-11-13 15:12:44,B180
2025-11-13 15:12:44,B199
2025-11-13 15:12:44,B200
2025-11-13 15:12:44,B201
2025-11-13 15:12:44,B202
2025-11-13 15:12:44,B203
2025-11-13 15:12:44,B214
2025-11-13 15:12:44,B220
2025-11-13 15:12:44,B221
2025-11-13 15:12:44,B247
2025-11-13 15:12:44,B248
2025-11-13 15:12:44,B249
2025-11-13 15:12:44,B304
2025-11-13 15:12:44,B305
2025-11-13 15:12:44,B306
2025-11-13 15:12:44,B307
2025-11-13 15:12:44,B308
2025-11-13 15:12:44,B309
2025-11-13 15:12:44,B310
2025-11-13 15:12:44,B311
2025-11-13 15:12:44,B312
2025-11-13 15:12:44,B313
2025-11-13 15:12:44,B314
2025-11-13 15:12:44,B315
2025-11-13 15:12:44,B316
2025-11-13 15:12:44,B332
2025-11-13 15:12:44,B341
2025-11-13 15:12:44,B342
2025-11-13 15:12:44,B343
2025-11-13 15:12:44,B344
2025-11-13 15:12:44,B345
2025-11-13 15:12:44,B346
2025-11-13 15:12:44,B347
2025-11-13 15:12:44,B348
2025-11-13 15:12:44,B349
2025-11-13 15:12:44,B353
2025-11-13 15:12:44,F081
2025-11-13 15:12:44,F175
2025-11-13 15:12:44,F187
2025-11-13 15:12:44,F292
2025-11-13 15:12:44,F293
2025-11-13 15:12:44,F294
2025-11-13 15:12:44,F295
2025-11-13 15:12:44,F394
2025-11-13 15:12:44,G007
2025-11-13 15:12:44,G010
2025-11-13 15:12:44,G020
2025-11-13 15:12:44,G077
2025-11-13 15:12:44,G094
2025-11-13 15:12:44,G095
2025-11-13 15:12:44,G109
2025-11-13 15:12:44,I014
